name,handle,bucket,section,value_prop,activation_phase,distribution_power,fit_score,notes
"Salutbrian",salutbrian,creators,"LES DÉCLENCHEURS (reach + narration simple)","Paris accessible, énorme portée.",1,100,100,"Offer: Paris accessible, énorme portée. | Phase 1"
"Parisauhasard",parisauhasard,creators,"LES DÉCLENCHEURS (reach + narration simple)","Poésie urbaine pure.",1,100,100,"Offer: Poésie urbaine pure. | Phase 1"
"Pierrepptt",pierrepptt,creators,"LES NARRATEURS CULTURELS","Culture vulgarisée moderne.",1,100,100,"Offer: Culture vulgarisée moderne. | Phase 1"
"Florentderue",florentderue,creators,"LES NARRATEURS CULTURELS","Enquête lieux cachés.",2,80,85,"Offer: Enquête lieux cachés. | Phase 2"
"Lunerob",lunerob,creators,"LES NARRATEURS CULTURELS","Histoire + culture féminine.",2,80,85,"Offer: Histoire + culture féminine. | Phase 2"
"Paristimemachine",paristimemachine,creators,"LES NARRATEURS CULTURELS","Promenades historiques → quasi ARCHÉ déjà.",2,80,85,"Offer: Promenades historiques → quasi ARCHÉ déjà. | Phase 2"
"Quite Travelfrance",quite_travelfrance,guides,"LES GUIDES / MONÉTISATION DIRECTE","Guide premium internationale.",3,60,70,"Offer: Guide premium internationale. | Phase 3"
"Leparis Go",leparis_go,guides,"LES GUIDES / MONÉTISATION DIRECTE","Guide conférencier patrimoine.",3,60,70,"Offer: Guide conférencier patrimoine. | Phase 3"
"Parisculture",parisculture,other,"CULTURE OFFICIELLE / AMPLIFICATEURS","Ville de Paris — légitimité.",4,40,55,"Offer: Ville de Paris — légitimité. | Phase 4"
"Toits De Paris",toits_de_paris,creators,"LES DÉCLENCHEURS (reach + narration simple)","Marche narrative / POV ville.",,50,60,"Offer: Marche narrative / POV ville."
"Parislegendes",parislegendes,creators,"LES DÉCLENCHEURS (reach + narration simple)","Mystère + imaginaire.",,50,60,"Offer: Mystère + imaginaire."
"Lavraiehistoire",lavraiehistoire_,creators,"LES NARRATEURS CULTURELS","Format viral historique.",,50,60,"Offer: Format viral historique."
"Le Gout De L Histoire",le.gout.de.l.histoire,creators,"LES NARRATEURS CULTURELS","Histoire par la gastronomie.",,50,60,"Offer: Histoire par la gastronomie."
"Les Distingues",les_distingues,experience_studios,"ESTHÉTIQUE & LIFESTYLE PARISIEN","Paris élégant / luxe.",,50,60,"Offer: Paris élégant / luxe."
"Stephanie Jh",stephanie.jh,experience_studios,"ESTHÉTIQUE & LIFESTYLE PARISIEN","Lifestyle expatrié Paris.",,50,60,"Offer: Lifestyle expatrié Paris."
"Paris Laboutique",paris_laboutique,experience_studios,"ESTHÉTIQUE & LIFESTYLE PARISIEN","Objets / imaginaire souvenir moderne.",,50,60,"Offer: Objets / imaginaire souvenir moderne."
"Lavraiehistoire",lavraiehistoire,creators,"CRÉATEURS TRANSVERSAUX","",,50,60,""
"Lobster Creative Sound",lobster_creative_sound,other,"TON ÉCOSYSTÈME DIRECT","couche sonore ARCHÉ.",,50,60,"Offer: couche sonore ARCHÉ."