normalized_handle,name,normalized_name,handle,bucket,economic_role,activation_phase,potential_tier,distribution_power,fit_score,section,offer,notes
fondation_bettencourt_schueller,Fondation Bettencourt Schueller,fondation_bettencourt_schueller,fondation_bettencourt_schueller,fundraising,observer,1,high,95,90,Structure - Heritage & Craft,"Soumettre ARCHÉ dans l'axe ""Parcours"" : valoriser la main (dorure, papier).","Criteria: Métiers d'art (Intelligence de la main) & Chant Choral || Calendar: Rolling. Prix: Jan-Mars || Angle: Soumettre ARCHÉ dans l'axe ""Parcours"" : valoriser la main (dorure, papier). || Cluster: Heritage & Craft || Type: foundation || Tier: 3 || Source: strategic-fundraising-report"
fondation_bru,Fondation Bru,fondation_bru,fondation_bru,fundraising,observer,1,high,95,90,Structure - Heritage & Craft,"Soutien structurel sur le volet ""Mémoire"" et histoire de Paris.","Criteria: Musique, patrimoine, projets à long terme || Calendar: Ad-hoc (Contact direct) || Angle: Soutien structurel sur le volet ""Mémoire"" et histoire de Paris. || Cluster: Heritage & Craft || Type: foundation || Tier: 3 || Source: strategic-fundraising-report"
fondation_d_entreprise_hermes,Fondation d'entreprise Hermès,fondation_dentreprise_hermes,fondation_d_entreprise_hermes,fundraising,observer,1,high,95,90,Structure - Heritage & Craft,Manufacto : utiliser le Passeport comme support pédagogique pour initier aux métiers du livre.,"Criteria: Transmission des savoir-faire, biodiversité, arts de la scène || Calendar: Sept (Manufacto/Bourses), Déc (Transforme) || Angle: Manufacto : utiliser le Passeport comme support pédagogique pour initier aux métiers du livre. || Cluster: Heritage & Craft || Type: foundation || Tier: 3 || Source: strategic-fundraising-report"
fondation_totalenergies,Fondation TotalEnergies,fondation_totalenergies,fondation_totalenergies,fundraising,observer,1,high,95,90,Structure - Social Cohesion,Formation des jeunes aux métiers du patrimoine (restauration papier).,"Criteria: Jeunesse, dialogue des cultures, patrimoine || Calendar: Rolling (Dépôt en ligne) || Angle: Formation des jeunes aux métiers du patrimoine (restauration papier). || Cluster: Social Cohesion || Type: foundation || Tier: 3 || Source: strategic-fundraising-report"
helene_david_weill,Hélène David-Weill,helene_davidweill,helene_david_weill,fundraising,observer,1,high,95,90,Individual - Aesthetes,"Le Passeport ARCHÉ, avec sa dorure et reliure d'art, est un hommage vivant aux arts décoratifs.","Profile: Présidente Honoraire MAD, Figure tutélaire mécénat parisien || Thesis: Arts Décoratifs, Excellence, Patrimoine || Vehicle: Mécène individuel via MAD || Angle: Le Passeport ARCHÉ, avec sa dorure et reliure d'art, est un hommage vivant aux arts décoratifs. || Bundle: Aesthetes || Tier: 3 || Source: strategic-fundraising-report"
la_france_s_engage,La France s'engage,la_france_sengage,la_france_s_engage,fundraising,observer,1,high,95,90,Structure - Social Cohesion,Si ARCHÉ a une méthodologie innovante de cohésion sociale duplicable.,"Criteria: Innovation sociale, changement d'échelle, impact || Calendar: Janvier-Mars (Concours annuel) || Angle: Si ARCHÉ a une méthodologie innovante de cohésion sociale duplicable. || Cluster: Social Cohesion || Type: foundation || Tier: 3 || Source: strategic-fundraising-report"
laurent_dumas,Laurent Dumas,laurent_dumas,laurent_dumas,fundraising,observer,1,high,95,90,Individual - Builders,"Le Passeport ARCHÉ est l'outil de médiation culturelle qui manque à vos programmes ""1 immeuble, 1 œuvre"".","Profile: Président Groupe Emerige, Collectionneur art contemporain || Thesis: Art contemporain, Éducation artistique, Jeunesse || Vehicle: Fonds de dotation Emerige || Angle: Le Passeport ARCHÉ est l'outil de médiation culturelle qui manque à vos programmes ""1 immeuble, 1 œuvre"". || Bundle: Builders || Tier: 3 || Source: strategic-fundraising-report"
marc_ladreit_de_lacharriere,Marc Ladreit de Lacharrière,marc_ladreit_de_lacharriere,marc_ladreit_de_lacharriere,fundraising,observer,1,high,95,90,Individual - Republicans,"Le Passeport ARCHÉ est un symbole d'appartenance. Offrir ce passeport aux jeunes, c'est leur donner le droit de cité.","Profile: Fondateur Fimalac || Thesis: Égalité des chances, Diversité, Culture pour tous || Vehicle: Fondation Culture & Diversité || Angle: Le Passeport ARCHÉ est un symbole d'appartenance. Offrir ce passeport aux jeunes, c'est leur donner le droit de cité. || Bundle: Republicans || Tier: 3 || Source: strategic-fundraising-report"
nicole_bru,Nicole Bru,nicole_bru,nicole_bru,fundraising,observer,1,high,95,90,Individual - Aesthetes,"Comme le Palazzetto Bru Zane redonne vie à la musique romantique, ARCHÉ redonne vie aux parcours oubliés.","Profile: Mécène historique (Fondation Bru) || Thesis: Patrimoine, Musique, Restauration || Vehicle: Fondation Bru || Angle: Comme le Palazzetto Bru Zane redonne vie à la musique romantique, ARCHÉ redonne vie aux parcours oubliés. || Bundle: Aesthetes || Tier: 3 || Source: strategic-fundraising-report"
yves_guillemot,Yves Guillemot,yves_guillemot,yves_guillemot,fundraising,observer,1,high,95,90,Individual - Innovators,Gamifier le patrimoine parisien. Le Passeport est l'interface physique d'une quête culturelle.,"Profile: PDG Ubisoft || Thesis: Tech, Patrimoine virtuel (Notre-Dame), Éducation || Vehicle: Ubisoft / Mécène individuel || Angle: Gamifier le patrimoine parisien. Le Passeport est l'interface physique d'une quête culturelle. || Bundle: Innovators || Tier: 3 || Source: strategic-fundraising-report"
ariane_de_rothschild,Ariane de Rothschild,ariane_de_rothschild,ariane_de_rothschild,fundraising,observer,2,med,80,75,Individual - Republicans,ARCHÉ est un projet d'empowerment : transformer le flâneur passif en acteur de son patrimoine.,"Profile: Edmond de Rothschild Foundations || Thesis: Empowerment, Art de vivre, Impact social || Vehicle: Edmond de Rothschild Foundations || Angle: ARCHÉ est un projet d'empowerment : transformer le flâneur passif en acteur de son patrimoine. || Bundle: Republicans || Tier: 2 || Source: strategic-fundraising-report"
arthur_toscan_du_plantier,Arthur Toscan du Plantier,arthur_toscan_du_plantier,arthur_toscan_du_plantier,fundraising,observer,2,med,80,75,Individual - Builders,Utiliser le Passeport comme livret d'accueil culturel pour les résidents.,"Profile: Directeur Stratégie Emerige, Président ""1 immeuble, 1 œuvre"" || Thesis: Démocratisation culturelle, Lien Art/Immobilier || Vehicle: Groupe Emerige || Angle: Utiliser le Passeport comme livret d'accueil culturel pour les résidents. || Bundle: Builders || Tier: 2 || Source: strategic-fundraising-report"
comite_colbert,Comité Colbert,comite_colbert,comite_colbert,fundraising,observer,2,med,80,75,Structure - Heritage & Craft,Le Passeport comme Ambassadeur du savoir-faire français.,"Criteria: Promotion du luxe français, savoir-faire, rayonnement international || Calendar: Ad-hoc (Partenariats stratégiques) || Angle: Le Passeport comme Ambassadeur du savoir-faire français. || Cluster: Heritage & Craft || Type: association || Tier: 2 || Source: strategic-fundraising-report"
fondation_art_explora,Fondation Art Explora,fondation_art_explora,fondation_art_explora,fundraising,observer,2,med,80,75,Structure - Arts & Innovation,Le Passeport est une exposition mobile. Candidater au Prix Européen.,"Criteria: Mobilité culturelle, innovation, publics empêchés || Calendar: Septembre (Prix Art Explora) || Angle: Le Passeport est une exposition mobile. Candidater au Prix Européen. || Cluster: Arts & Innovation || Type: foundation || Tier: 2 || Source: strategic-fundraising-report"
fondation_bnp_paribas,Fondation BNP Paribas,fondation_bnp_paribas,fondation_bnp_paribas,fundraising,observer,2,med,80,75,Structure - Social Cohesion,Le Passeport comme outil d'inclusion pour les associations de quartier.,"Criteria: Projet Banlieues, inclusion, culture (danse/jazz) || Calendar: Mars/Avril (Appel Projet Banlieues) || Angle: Le Passeport comme outil d'inclusion pour les associations de quartier. || Cluster: Social Cohesion || Type: foundation || Tier: 2 || Source: strategic-fundraising-report"
fondation_culture_diversite,Fondation Culture & Diversité,fondation_culture__diversite,fondation_culture_diversite,fundraising,observer,2,med,80,75,Structure - Social Cohesion,"Créer un ""Stage ARCHÉ"" pour les élèves de ZEP, validé par le Passeport.","Criteria: Éducation artistique, Égalité des chances, cohésion || Calendar: Rolling (Programmes partenariaux) || Angle: Créer un ""Stage ARCHÉ"" pour les élèves de ZEP, validé par le Passeport. || Cluster: Social Cohesion || Type: foundation || Tier: 2 || Source: strategic-fundraising-report"
fondation_francois_sommer,Fondation François Sommer,fondation_francois_sommer,fondation_francois_sommer,fundraising,observer,2,med,80,75,Structure - Heritage & Craft,"Un chapitre ""Nature dans la Ville"" au sein du Passeport.","Criteria: Nature, Culture, Chasse. Située dans le Marais || Calendar: Jan/Fév (Appels culturels) || Angle: Un chapitre ""Nature dans la Ville"" au sein du Passeport. || Cluster: Heritage & Craft || Type: foundation || Tier: 2 || Source: strategic-fundraising-report"
fondation_orange,Fondation Orange,fondation_orange,fondation_orange,fundraising,observer,2,med,80,75,Structure - Social Cohesion,Volet numérique du Passeport (appli) ou volet musical.,"Criteria: Musique (classique/vocale), Autisme, Femmes, Numérique || Calendar: Sept-Nov (Musical), Jan-Mars (Numérique) || Angle: Volet numérique du Passeport (appli) ou volet musical. || Cluster: Social Cohesion || Type: foundation || Tier: 2 || Source: strategic-fundraising-report"
fonds_de_dotation_emerige,Fonds de dotation Emerige,fonds_de_dotation_emerige,fonds_de_dotation_emerige,fundraising,observer,2,med,80,75,Structure - City & Territory,Distribution du Passeport aux enfants des écoles partenaires d'Emerige.,"Criteria: Art contemporain, éducation jeunesse, ""1 immeuble 1 œuvre"" || Calendar: Rolling (Contact mécénat) || Angle: Distribution du Passeport aux enfants des écoles partenaires d'Emerige. || Cluster: City & Territory || Type: foundation || Tier: 2 || Source: strategic-fundraising-report"
fonds_de_dotation_grand_paris_express,Fonds de dotation Grand Paris Express,fonds_de_dotation_grand_paris_express,fonds_de_dotation_grand_paris_express,fundraising,observer,2,med,80,75,Structure - City & Territory,Ordo per motum : étendre le parcours aux nouvelles gares du GPE.,"Criteria: Art et mobilité, territoire du Grand Paris, innovation || Calendar: Appels réguliers (Numérique/Art) || Angle: Ordo per motum : étendre le parcours aux nouvelles gares du GPE. || Cluster: City & Territory || Type: foundation || Tier: 2 || Source: strategic-fundraising-report"
frederic_jousset,Frédéric Jousset,frederic_jousset,frederic_jousset,fundraising,observer,2,med,80,75,Individual - Innovators,Vous avez mis l'art sur un bateau; ARCHÉ met l'art dans la poche.,"Profile: Fondateur Art Explora || Thesis: Mobilité culturelle, Innovation, Accès || Vehicle: Fondation Art Explora || Angle: Vous avez mis l'art sur un bateau; ARCHÉ met l'art dans la poche. || Bundle: Innovators || Tier: 2 || Source: strategic-fundraising-report"
groupama_immobilier,Groupama Immobilier,groupama_immobilier,groupama_immobilier,fundraising,observer,2,med,80,75,Structure - City & Territory,Le Passeport comme cadeau de bienvenue exclusif pour locataires premium.,"Criteria: Valorisation actifs parisiens (Champs-Élysées), RSE || Calendar: Ad-hoc (Budget RSE/Mécénat) || Angle: Le Passeport comme cadeau de bienvenue exclusif pour locataires premium. || Cluster: City & Territory || Type: enterprise || Tier: 2 || Source: strategic-fundraising-report"
henri_de_castries,Henri de Castries,henri_de_castries,henri_de_castries,fundraising,observer,2,med,80,75,Individual - Innovators,Ordo per motum : une vision libérale et ordonnée de la culture.,"Profile: Président Institut Montaigne / Fondation Sommer || Thesis: Politique publique, Nature, Cohésion || Vehicle: Fondation François Sommer || Angle: Ordo per motum : une vision libérale et ordonnée de la culture. || Bundle: Innovators || Tier: 2 || Source: strategic-fundraising-report"
hubert_goldschmidt,Hubert Goldschmidt,hubert_goldschmidt,hubert_goldschmidt,fundraising,observer,2,med,80,75,Individual - Aesthetes,"En tant que protecteur des arts graphiques, soutenez un passeport imprimé selon les techniques de l'Imprimerie Nationale.","Profile: Grand Mécène MAD, Membre Cercle Arts Graphiques || Thesis: Arts graphiques, Papier, Dessin || Vehicle: Comité International MAD || Angle: En tant que protecteur des arts graphiques, soutenez un passeport imprimé selon les techniques de l'Imprimerie Nationale. || Bundle: Aesthetes || Tier: 2 || Source: strategic-fundraising-report"
laurent_dassault,Laurent Dassault,laurent_dassault,laurent_dassault,fundraising,observer,2,med,80,75,Individual - Innovators,L'excellence industrielle française au service de la culture.,"Profile: Groupe Dassault, CA Amis Pompidou || Thesis: Art, Industrie, Patrimoine || Vehicle: Groupe Dassault Art || Angle: L'excellence industrielle française au service de la culture. || Bundle: Innovators || Tier: 2 || Source: strategic-fundraising-report"
lionel_sauvage,Lionel Sauvage,lionel_sauvage,lionel_sauvage,fundraising,observer,2,med,80,75,Individual - Aesthetes,"ARCHÉ ne se contente pas de montrer le patrimoine, il l'imprime.","Profile: Président Cercle des Arts Graphiques (MAD) || Thesis: Bibliophilie, Estampe, Papier || Vehicle: Cercle des Arts Graphiques || Angle: ARCHÉ ne se contente pas de montrer le patrimoine, il l'imprime. || Bundle: Aesthetes || Tier: 2 || Source: strategic-fundraising-report"
pascal_cagni,Pascal Cagni,pascal_cagni,pascal_cagni,fundraising,observer,2,med,80,75,Individual - Innovators,ARCHÉ valorise la marque Paris. C'est un outil de soft power.,"Profile: Ambassadeur Investissements Internationaux, Grand Mécène MAD || Thesis: Tech, Attractivité France, Patrimoine || Vehicle: Fondation Cagni || Angle: ARCHÉ valorise la marque Paris. C'est un outil de soft power. || Bundle: Innovators || Tier: 2 || Source: strategic-fundraising-report"
pierre_alexis_dumas,Pierre-Alexis Dumas,pierrealexis_dumas,pierre_alexis_dumas,fundraising,observer,2,med,80,75,Individual - Aesthetes,Le soin apporté à la dorure reflète les valeurs d'Hermès.,"Profile: Directeur Artistique Hermès, CA MAD || Thesis: Métiers d'art, Création, Transmission || Vehicle: Fondation Hermès / Mécène personnel || Angle: Le soin apporté à la dorure reflète les valeurs d'Hermès. || Bundle: Aesthetes || Tier: 2 || Source: strategic-fundraising-report"
pierre_andre_maus,Pierre-André Maus,pierreandre_maus,pierre_andre_maus,fundraising,observer,2,med,80,75,Individual - Republicans,Le Passeport comme accessoire d'élégance intellectuelle.,"Profile: Maus Frères (Lacoste), CA MAD || Thesis: Mode, Patrimoine, Art || Vehicle: Mécène individuel / Groupe Maus || Angle: Le Passeport comme accessoire d'élégance intellectuelle. || Bundle: Republicans || Tier: 2 || Source: strategic-fundraising-report"
remi_babinet,Rémi Babinet,remi_babinet,remi_babinet,fundraising,observer,2,med,80,75,Individual - Builders,Le Passeport ARCHÉ est un asset de marque territoriale.,"Profile: Président Fonds GPE, Fondateur BETC || Thesis: Créativité, Narration urbaine, Banlieues || Vehicle: Fonds de dotation Grand Paris Express || Angle: Le Passeport ARCHÉ est un asset de marque territoriale. || Bundle: Builders || Tier: 2 || Source: strategic-fundraising-report"
ubisoft,Ubisoft,ubisoft,ubisoft,fundraising,observer,2,med,80,75,Structure - Arts & Innovation,Gamification du parcours ARCHÉ. Réalité augmentée via le Passeport.,"Criteria: Tech, Gaming, Histoire (Assassin's Creed) || Calendar: Ad-hoc (Partenariats RSE/Culture) || Angle: Gamification du parcours ARCHÉ. Réalité augmentée via le Passeport. || Cluster: Arts & Innovation || Type: enterprise || Tier: 2 || Source: strategic-fundraising-report"
xavier_lepine,Xavier Lépine,xavier_lepine,xavier_lepine,fundraising,observer,2,med,80,75,Individual - Builders,Ordo per motum est la définition même du Grand Paris Express.,"Profile: Vice-Président Fonds Grand Paris Express, Ex-La Française || Thesis: Urbanisme culturel, Art espace public, Mobilité || Vehicle: Fonds de dotation Grand Paris Express || Angle: Ordo per motum est la définition même du Grand Paris Express. || Bundle: Builders || Tier: 2 || Source: strategic-fundraising-report"
alain_teitelbaum,Alain Teitelbaum,alain_teitelbaum,alain_teitelbaum,fundraising,observer,3,low,65,60,Individual - Builders,Votre héritage à l'Axe Majeur prouve que l'ordre architectural crée du lien social.,"Profile: Ancien Président Axe Majeur, figure patrimoine local || Thesis: Patrimoine local, Art urbain || Vehicle: Association Axe Majeur || Angle: Votre héritage à l'Axe Majeur prouve que l'ordre architectural crée du lien social. || Bundle: Builders || Tier: 1 || Source: strategic-fundraising-report"
amis_de_la_reliure_d_art_ara,Amis de la Reliure d'Art (ARA),amis_de_la_reliure_dart_ara,amis_de_la_reliure_d_art_ara,fundraising,observer,3,low,65,60,Structure - Heritage & Craft,Soutien technique et validation expert de la qualité bibliophilique.,"Criteria: Promotion de la reliure, bibliophilie || Calendar: Rolling (Contact Bureau) || Angle: Soutien technique et validation expert de la qualité bibliophilique. || Cluster: Heritage & Craft || Type: association || Tier: 1 || Source: strategic-fundraising-report"
aube_elleouet_breton,Aube Elléouët-Breton,aube_elleouetbreton,aube_elleouet_breton,fundraising,observer,3,low,65,60,Individual - Aesthetes,La marche dans Paris était la méthode surréaliste. ARCHÉ réactive cette dérive urbaine.,"Profile: Fille d'André Breton, Donatrice BnF || Thesis: Littérature, Surréalisme, Manuscrits || Vehicle: Ayant-droit / Partenaire BnF || Angle: La marche dans Paris était la méthode surréaliste. ARCHÉ réactive cette dérive urbaine. || Bundle: Aesthetes || Tier: 1 || Source: strategic-fundraising-report"
credit_agricole_ile_de_france_mecenat,Crédit Agricole Ile-de-France Mécénat,credit_agricole_iledefrance_mecenat,credit_agricole_ile_de_france_mecenat,fundraising,observer,3,low,65,60,Structure - Heritage & Craft,Financement de la restauration d'un élément patrimonial intégré au parcours.,"Criteria: Patrimoine francilien, musées, restauration || Calendar: Mars & Octobre (Commissions) || Angle: Financement de la restauration d'un élément patrimonial intégré au parcours. || Cluster: Heritage & Craft || Type: enterprise || Tier: 1 || Source: strategic-fundraising-report"
deezer,Deezer,deezer,deezer,fundraising,observer,3,low,65,60,Structure - Arts & Innovation,Création d'un Audio-Guide exclusif ou podcasts liés aux lieux du Passeport.,"Criteria: Musique, Audio, Tech || Calendar: Ad-hoc (Partenariats brand) || Angle: Création d'un Audio-Guide exclusif ou podcasts liés aux lieux du Passeport. || Cluster: Arts & Innovation || Type: enterprise || Tier: 1 || Source: strategic-fundraising-report"
floriane_de_saint_pierre,Floriane de Saint Pierre,floriane_de_saint_pierre,floriane_de_saint_pierre,fundraising,observer,3,low,65,60,Individual - Republicans,Connecter la bibliophilie avec les codes de l'art contemporain.,"Profile: Présidente des Amis du Centre Pompidou || Thesis: Art contemporain, Philanthropie moderne || Vehicle: Amis du Centre Pompidou / Ethics & Boards || Angle: Connecter la bibliophilie avec les codes de l'art contemporain. || Bundle: Republicans || Tier: 1 || Source: strategic-fundraising-report"
fondation_colas,Fondation Colas,fondation_colas,fondation_colas,fundraising,observer,3,low,65,60,Structure - City & Territory,ARCHÉ est un chemin. Commander une œuvre sur le thème du tracé urbain.,"Criteria: La Route, Art contemporain, peindre la route || Calendar: Rolling || Angle: ARCHÉ est un chemin. Commander une œuvre sur le thème du tracé urbain. || Cluster: City & Territory || Type: foundation || Tier: 1 || Source: strategic-fundraising-report"
fondation_du_patrimoine,Fondation du Patrimoine,fondation_du_patrimoine,fondation_du_patrimoine,fundraising,observer,3,low,65,60,Structure - Heritage & Craft,Financement de la restauration d'un site étape du parcours ARCHÉ.,"Criteria: Restauration bâti, patrimoine de proximité, insertion || Calendar: Rolling (Dépôt en ligne) || Angle: Financement de la restauration d'un site étape du parcours ARCHÉ. || Cluster: Heritage & Craft || Type: foundation || Tier: 1 || Source: strategic-fundraising-report"
fondation_eiffage,Fondation Eiffage,fondation_eiffage,fondation_eiffage,fundraising,observer,3,low,65,60,Structure - City & Territory,Insertion des jeunes via les chantiers de restauration liés au projet.,"Criteria: Insertion professionnelle, solidarité || Calendar: Mars/Juin/Octobre || Angle: Insertion des jeunes via les chantiers de restauration liés au projet. || Cluster: City & Territory || Type: foundation || Tier: 1 || Source: strategic-fundraising-report"
fondation_free,Fondation Free,fondation_free,fondation_free,fundraising,observer,3,low,65,60,Structure - Social Cohesion,Hacker le patrimoine : rendre les données culturelles accessibles via le Passeport numérique.,"Criteria: Inclusion numérique, open source, culture libre || Calendar: Janvier & Juillet (Appels) || Angle: Hacker le patrimoine : rendre les données culturelles accessibles via le Passeport numérique. || Cluster: Social Cohesion || Type: foundation || Tier: 1 || Source: strategic-fundraising-report"
fondation_jan_michalski,Fondation Jan Michalski,fondation_jan_michalski,fondation_jan_michalski,fundraising,observer,3,low,65,60,Structure - Arts & Innovation,Financer la commande de textes inédits d'écrivains pour le Passeport.,"Criteria: Littérature, écriture, bibliophilie (Suisse/France) || Calendar: Printemps (Résidences), Rolling (Aides) || Angle: Financer la commande de textes inédits d'écrivains pour le Passeport. || Cluster: Arts & Innovation || Type: foundation || Tier: 1 || Source: strategic-fundraising-report"
fondation_la_poste,Fondation La Poste,fondation_la_poste,fondation_la_poste,fundraising,observer,3,low,65,60,Structure - Arts & Innovation,L'aspect épistolaire : le Passeport sert à écrire/envoyer des récits de Paris.,"Criteria: Écriture, correspondance, lien social || Calendar: Janvier/Septembre (Comités) || Angle: L'aspect épistolaire : le Passeport sert à écrire/envoyer des récits de Paris. || Cluster: Arts & Innovation || Type: foundation || Tier: 1 || Source: strategic-fundraising-report"
fondation_palladio,Fondation Palladio,fondation_palladio,fondation_palladio,fundraising,observer,3,low,65,60,Structure - City & Territory,"ARCHÉ comme outil de ""soft city"" : créer du lien social dans les quartiers denses.","Criteria: Construction ville de demain, recherche, inclusion || Calendar: Novembre (Bourses/Prix) || Angle: ARCHÉ comme outil de ""soft city"" : créer du lien social dans les quartiers denses. || Cluster: City & Territory || Type: foundation || Tier: 1 || Source: strategic-fundraising-report"
fondation_ratp,Fondation RATP,fondation_ratp,fondation_ratp,fundraising,observer,3,low,65,60,Structure - City & Territory,Partenariat de visibilité dans le métro + financement volet mobilité.,"Criteria: Mobilité, accès culture, territoire || Calendar: Mars & Septembre || Angle: Partenariat de visibilité dans le métro + financement volet mobilité. || Cluster: City & Territory || Type: foundation || Tier: 1 || Source: strategic-fundraising-report"
fondation_sncf,Fondation SNCF,fondation_sncf,fondation_sncf,fundraising,observer,3,low,65,60,Structure - Social Cohesion,Le Passeport comme support d'alphabétisation et découverte du territoire.,"Criteria: Faire ensemble, mobilité, lire/écrire || Calendar: Janvier/Juin (Appels territoriaux) || Angle: Le Passeport comme support d'alphabétisation et découverte du territoire. || Cluster: Social Cohesion || Type: foundation || Tier: 1 || Source: strategic-fundraising-report"
francis_kurkdjian,Francis Kurkdjian,francis_kurkdjian,francis_kurkdjian,fundraising,observer,3,low,65,60,Individual - Innovators,Ajouter une dimension olfactive au Passeport pour une expérience multisensorielle.,"Profile: Parfumeur, Mécène BnF || Thesis: Patrimoine sensoriel, Olfaction, Histoire || Vehicle: Fonds de dotation Per Fumum || Angle: Ajouter une dimension olfactive au Passeport pour une expérience multisensorielle. || Bundle: Innovators || Tier: 1 || Source: strategic-fundraising-report"
jean_jacques_aillagon,Jean-Jacques Aillagon,jeanjacques_aillagon,jean_jacques_aillagon,fundraising,observer,3,low,65,60,Individual - Republicans,Un projet qui réconcilie l'exigence républicaine (Ordre) et la dynamique culturelle (Mouvement).,"Profile: Ancien Ministre, Président Fonds Concert Spirituel || Thesis: Patrimoine, Musique, Rayonnement || Vehicle: Fonds de dotation du Concert Spirituel || Angle: Un projet qui réconcilie l'exigence républicaine (Ordre) et la dynamique culturelle (Mouvement). || Bundle: Republicans || Tier: 1 || Source: strategic-fundraising-report"
michel_jaouen,Michel Jaouën,michel_jaouen,michel_jaouen,fundraising,observer,3,low,65,60,Individual - Builders,L'Axe Majeur est une ligne de force. ARCHÉ propose d'étendre cette ligne symbolique.,"Profile: Président Association Axe Majeur (Cergy) || Thesis: Art monumental, Architecture, Territoire || Vehicle: Association Axe Majeur || Angle: L'Axe Majeur est une ligne de force. ARCHÉ propose d'étendre cette ligne symbolique. || Bundle: Builders || Tier: 1 || Source: strategic-fundraising-report"
nathalie_mamane_cohen,Nathalie Mamane-Cohen,nathalie_mamanecohen,nathalie_mamane_cohen,fundraising,observer,3,low,65,60,Individual - Republicans,Engager la nouvelle génération de collectionneurs avec un objet culte.,"Profile: Vice-Présidente Amis Pompidou || Thesis: Art contemporain, Collectionneurs || Vehicle: Amis du Centre Pompidou || Angle: Engager la nouvelle génération de collectionneurs avec un objet culte. || Bundle: Republicans || Tier: 1 || Source: strategic-fundraising-report"
philippe_serrier,Philippe Serrier,philippe_serrier,philippe_serrier,fundraising,observer,3,low,65,60,Individual - Aesthetes,Le Passeport ARCHÉ est un plaidoyer pour la reliure.,"Profile: Président des Amis de la Reliure d'Art (ARA) || Thesis: Reliure d'art, Dorure, Création contemporaine || Vehicle: Association ARA France || Angle: Le Passeport ARCHÉ est un plaidoyer pour la reliure. || Bundle: Aesthetes || Tier: 1 || Source: strategic-fundraising-report"
amis_du_musee_carnavalet,Amis du Musée Carnavalet,amis_du_musee_carnavalet,amis_du_musee_carnavalet,fundraising,observer,4,watch,65,60,Structure - City & Territory,Co-branding : Le Passeport devient le carnet de bord du visiteur de Carnavalet.,"Criteria: Histoire de Paris, acquisitions || Calendar: Ad-hoc (Bureau) || Angle: Co-branding : Le Passeport devient le carnet de bord du visiteur de Carnavalet. || Cluster: City & Territory || Type: association || Tier: 0 || Source: strategic-fundraising-report"
fondation_mansart,Fondation Mansart,fondation_mansart,fondation_mansart,fundraising,observer,4,watch,65,60,Structure - Heritage & Craft,"Partenaire institutionnel pour abriter un ""Fonds ARCHÉ"" et défiscaliser les dons IFI.","Criteria: Conservation patrimoine, structure abritante || Calendar: Rolling || Angle: Partenaire institutionnel pour abriter un ""Fonds ARCHÉ"" et défiscaliser les dons IFI. || Cluster: Heritage & Craft || Type: foundation || Tier: 0 || Source: strategic-fundraising-report"
in_groupe_imprimerie_nationale,IN Groupe (Imprimerie Nationale),in_groupe_imprimerie_nationale,in_groupe_imprimerie_nationale,fundraising,observer,4,watch,65,60,Structure - Heritage & Craft,Mécénat de compétence : Produire le Passeport dans les ateliers de l'Imprimerie Nationale.,"Criteria: Patrimoine écrit, typographie, identité. Mécénat de compétence || Calendar: Rolling (Convention de partenariat) || Angle: Mécénat de compétence : Produire le Passeport dans les ateliers de l'Imprimerie Nationale. || Cluster: Heritage & Craft || Type: enterprise || Tier: 0 || Source: strategic-fundraising-report"